a touch of sadness ,一丝悲伤,*D
fall into despair ,陷入绝望,D
(one's) heart aches ,心痛,*D
in low spirits ,情绪低落,*D
with a heavy heart ,心情沉重地,*D
be immersed in sorrow ,沉浸在悲伤中,*D
break down ,情不自禁地哭起来,D
be wet with tears ,泪流满面,D
tears cloud (one's) eyes ,泪眼蒙眬,*D
choke back sobs ,强忍住啜泣,D
"be seized by sorrow, be seized by sadness, be seized by grief ",陷入悲伤,D
"be overcome with sadness, be overcome with grief, be overcome with sorrow",悲痛欲绝,D
(one's) heart seems to be torn apart ,心似乎被撕碎了,D
a strong sense of loss ,强烈的失落感,D
be overwhelmed by grief ,伤心不已,D
cry (one's) eyes out ,痛哭流涕,D
be in tears,含泪,D
bring tears to (one's) eyes ,使某人禁不住流泪,D
"burst into tears, burst out crying ",放声大哭,D
"cry bitter, lonely tears",流下伤心、孤独的泪水,D
"hold back tears, fight back tears, choke back tears, blink back tears",抑制住泪水；忍住眼泪,D
tears well up in (one's) eyes,泪水夺眶而出,D
tears fill (one's) eyes ,眼里满是泪水,D
"tears roll down (one's) face, tears run down (one's) face, tears stream down (one's) face, tears flow down (one's) face, tears pour down (one's) face",泪水顺着脸流下来,D
"tears roll down (one's) cheeks, tears run down (one's) cheeks, tears stream down (one's) cheeks, tears flow down (one's) cheeks, tears pour down (one's) cheeks",泪水顺着脸颊流下来,D
